"Gebiet","Sachmerkmal","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
Zentrum,Jugendquote,"5,6","5,5","5,2","5","4,9","5,5","5,6","5,8","5","5,098684211","5,319148936","6,649395509","6,700167504","6,45682001614205","6,55475619504397","17,2172808132147","7,02314445331205","6,84089162182936","5,895865237366","5,79937304075235","4,99265785609398","5,62364816149964","5,76527110501029","6,020761246"
Zentrum-Ost,Jugendquote,"7","7,1","6,8","6,7","7,6","7,8","7,9","9","8,8","9,719789842","10,85106383","11,17861482","11,22526636","11,0522598870057","11,0435663627153","11,9358074222668","11,4481409001957","11,011101110111","11,1267209890419","10,9613889608707","11,4328136599852","12,5951557093426","13,4089392928619","12,83185841"
Zentrum-Südost,Jugendquote,"10,7","9,9","8,7","9,4","9","9","9,6","10,4","10,4","10,56786704","11,24235686","10,79674363","10,92868781","11,0605697869284","11,2622478386167","13,8428702103872","12,4725164901059","11,6903931366079","12,1269361541368","12,2777622637997","12,5800980022616","12,547458097972","13,9532856893847","14,02997502"
Zentrum-Süd,Jugendquote,"12,4","11,5","11,6","11,5","11,2","10,7","11,2","11,5","12,2","12,60435199","13,79954624","14,1025641","14,48684698","15,5386657015322","15,737399604237","16,324200913242","16,6983771684387","16,8173401590241","17,0765760927935","17,6394293125811","17,6369124622682","18,4160905091138","18,475798146241","17,99048872"
Zentrum-West,Jugendquote,"14,8","13,7","13,3","13","12,6","12,3","12,5","12,8","13,7","14,63377494","15,61502205","16,9619132","17,72642457","18,17929887765","18,4986595174263","19,3947368421053","20,010395010395","19,7123950114533","19,5403742308175","19,1247974068071","18,8432835820896","18,7240283549254","18,9580838323353","18,20843091"
Zentrum-Nordwest,Jugendquote,"16,3","15,8","16","16,8","16,2","17,4","18,6","19,9","20,9","21,78321157","23,27819549","23,50533548","24,3274349","24,9253519124129","25,4437049362174","26,0380502707957","26,0592633619496","26,8259385665529","26,0732841126607","25,8390177353342","25,3591759284359","24,1603610779238","23,1433728726148","22,00697404"
Zentrum-Nord,Jugendquote,"12,9","12,7","13,1","13,4","13,6","13","13,6","14,3","14,3","14,66585415","16,4122894","16,84426996","16,47393702","16,0428747144614","15,7769869513642","15,504002613952","17,9171332586786","17,9574732267577","17,6416397973284","16,8027106114277","16,8494208494208","16,6069829901522","17,012388360703","16,48445265"
Schönefeld-Abtnaundorf,Jugendquote,"21,2","20,5","20","19,1","18,5","18,1","19,2","19,5","19,5","19,37071279","20,67425443","20,18785734","19,85834208","20,8290946083418","21,3764079712836","21,6715371127995","22,2535211267606","23,4009360374415","23,0710797612588","23,0092294483795","23,3868395875412","22,474615304093","22,1018852787806","21,38488854"
Schönefeld-Ost,Jugendquote,"9,6","9,7","9,6","9,5","9,6","9,9","10,5","10,8","11,8","12,50799062","13,16648531","13,36085162","13,49945829","15","14,4555296115474","16,5670719142798","17,4333662388944","18,7378640776699","18,6024003097174","19,3081883916357","18,8603988603989","19,1190253045923","19,7225680241864","19,53723034"
Mockau-Süd,Jugendquote,"17,1","16,7","15,8","15,2","15,6","15,5","15,9","17,2","17,6","17,38768719","18,20294345","18,8155922","19,36319882","19,1896869244936","20,2888340965129","20,3173508106244","19,953596287703","20,0191570881226","20,2388434946574","20,1920099101889","19,648804117469","19,5286195286195","20,411871592974","20,64110246"
Mockau-Nord,Jugendquote,"13,1","13,1","12,2","11,8","11,5","11","11,5","11,7","12,3","13,33223195","14,30226784","14,98189002","15,83510551","16,1200848425518","16,8381512330557","18,0979643765903","18,8700206316458","19,4289360344553","19,7283209603538","19,6470773593824","19,4761171032357","19,0067986993792","19,0077058266865","19,27536232"
Thekla,Jugendquote,"11,7","11,5","11,2","10,5","10,1","9,9","10,6","10,7","11,5","12,22791293","13,26037979","14,69240838","14,6156384","15,9713168187744","16,6883963494133","17,4108576935432","17,5570134333021","19,3983077405202","19,8797087685977","20,8125","21,1409395973154","21,0283251231527","21,941689209498","21,72485825"
Plaußig-Portitz,Jugendquote,"16,4","16,3","15","15,1","14,6","14","14,4","14,4","15,3","17,03958692","18,19248826","19,34900542","20,03687769","20,1829268292683","21,25","22,125","22,6286422814631","22,517394054396","23,3206590621039","25,3467843631778","25,7846153846154","27,7841561423651","28,9662797125484","29,31880109"
Neustadt-Neuschönefeld,Jugendquote,"18,3","18,1","18,1","17,8","17","17,9","18,6","18,5","18,4","18,44274809","18,74240583","18,27521343","18,37808663","17,7356595958328","17,0831331090822","17,1240644136993","16,7788057190917","16,3029134098061","16,4860296311027","16,7253865727148","16,4969450101833","15,8482995796714","15,6524960637214","14,7617761"
Volkmarsdorf,Jugendquote,"18,9","18,8","18","18","18,7","18,6","18,3","18,5","18,7","19,05711695","19,59845275","19,01743265","19,08836597","19,5121951219512","19,9422362811168","20,2857494765365","20,991452991453","22,3875802997859","21,7265592730277","21,1807668898357","21,3230119634061","21,2253395459502","21,2763933802549","20,46155284"
Anger-Crottendorf,Jugendquote,"18,8","19,7","19,7","19,4","18,8","18,5","17,9","17,9","18,7","18,96365043","19,25778864","19,25539836","19,08296943","18,3953033268102","18,6028049748611","18,0909545227386","18,4293320425944","18,6796612135979","18,355376653249","18,5364753636261","18,0430485394246","18,1838098367839","18,2267067410906","17,73171518"
Sellerhausen-Stünz,Jugendquote,"13,3","13","12,5","12,1","12,3","12,6","12,4","13,7","14,3","14,91020794","15,06653992","15,88652482","16,1076888","16,1668839634941","16,8099918099918","17,993932499052","18,7673002398967","19,2885234179478","20,2058977490839","19,9795081967213","20,0237569998303","20,1568496579343","20,7226530275532","20,08491182"
Paunsdorf,Jugendquote,"16,8","15,4","14,1","13,1","12,5","12","11,7","11,7","12,7","13,43078064","14,15042996","14,98716661","15,62361296","16,6065388951522","17,125348189415","17,7131741056955","19,7860962566845","20,372602739726","21,2603648424544","20,6","21,5290858725762","21,4621867133632","22,4368962293549","22,32969747"
Heiterblick,Jugendquote,"20,4","19,7","17,5","18","16,1","13,7","13,2","12,6","12,2","13,09476996","12,58907363","12,94024535","13,11012505","12,2814881219184","12,6948775055679","13,4615384615385","13,6506511001347","13,9492753623188","14,9703331811958","14,0682656826568","14,7883975273419","15,3061224489796","15,4915590863952","15,4231347"
Mölkau,Jugendquote,"15,9","15,6","14,8","13,8","14,1","14,5","14,6","14,8","16,4","17,55747126","18,05191018","18,76850207","19,30351246","18,9858134621189","19,2785692634132","21,2695547533093","21,6485507246377","22,3407497714112","22,5412339645693","22,9972586049345","23,2825613926018","22,9360645561763","23,8543628374137","23,9485248"
Engelsdorf,Jugendquote,"19,3","19","16,9","16,2","15,9","15,6","15,4","15,8","17","17,79346211","18,30831197","19,01306241","19,44191136","19,4240837696335","19,4725124165097","19,3287037037037","19,6240105540897","19,9134199134199","20,5623598412972","20,7274625826662","20,6094768363572","21,0470275066548","21,13707708406","20,59030218"
Baalsdorf,Jugendquote,"17,7","17,7","17","14,6","16","14,8","17,2","17,8","19,2","20,99547511","22,72727273","24,18772563","25,47945205","27,1571298819255","27,763041556145","28,5214348206474","27,7097902097902","27,6315789473684","27,4207369323051","25,7510729613734","25,8591065292096","25,3321523472099","24,7404844290657","24,10166521"
Althen-Kleinpösna,Jugendquote,"24","23,9","23,2","22,1","19,6","19","19,2","18,5","19,5","20,07142857","20,94202899","19,15194346","19,47483589","19,8269646719539","20,5903527717783","20,4037490987743","20,6576125804146","21,8415417558887","22,1412964311726","21,7138707334786","22,4215246636771","22,3574144486692","22,8070175438597","23,39449541"
Reudnitz-Thonberg,Jugendquote,"20,5","19,1","18","17,3","16,8","15,9","15,8","16,3","16,8","17,19840479","17,47994105","17,32124874","17,45513866","17,4416113134776","17,2859006936337","17,5988813423891","17,7291612568164","17,1683389074693","17,2788537429421","17,2526622642632","17,6090180955206","17,5378832374016","17,4325100516944","17,00147543"
Stötteritz,Jugendquote,"17,4","17,3","17,1","17","16,6","16,7","17,3","17,9","19","19,70080299","20,37057221","20,96860032","21,00685562","20,8632376395534","20,5192307692308","20,5590119788281","21,2104689203926","21,5981573352232","21,7570350034317","22,080934788212","22,1461187214612","22,520332019787","22,3675604970569","21,27864124"
Probstheida,Jugendquote,"15,3","15,4","14,6","14,1","13,9","13,5","14","14,9","16,1","17,22546909","17,19725343","17,32550957","18,49357012","19,4309927360775","20,3929740994344","21,2296983758701","21,0870802504269","21,6344808284355","22,3821620095964","22,8248898678414","23,4601697235149","23,3441033925687","24,3390357698289","23,46653092"
Meusdorf,Jugendquote,"14,1","13,1","12,5","11,6","12,1","11,4","11,7","12,1","13","14,09249564","14,34839842","14,12655971","14,70852018","16,0476845483723","16,1778185151237","16,7889908256881","17,2769953051643","17,5141242937853","17,5688509021842","18,6614557889595","19,1478696741855","19,4022289766971","19,2895905278737","18,32239925"
Liebertwolkwitz,Jugendquote,"18,8","18,1","17,2","16,8","15,7","15,7","15,8","16,4","17,4","17,74891775","18,37738168","19,21763428","20,46439628","20,5756276791182","19,9259716224553","20,4930662557781","21,7174859987554","22,5085377212046","23,0889235569423","22,363523573201","22,7129337539432","22,3584905660377","22,6890756302521","21,82440847"
Holzhausen,Jugendquote,"16,9","16,8","16","14,9","14,8","14,1","15","15,6","17,1","17,9787234","18,98699892","20,73071719","22,06208426","21,7558299039781","22,0468154599891","23,3926128590971","23,7361449040281","24,0215924426451","24,4731296101159","24,7834077185613","25,74568288854","25,7060669456067","25,7737321196359","25,20703934"
Südvorstadt,Jugendquote,"16,4","15,7","15,4","15,4","15,3","14,7","14,5","15,3","16","16,75331825","17,75683891","18,4275473","18,53193079","19,2022210890135","20,3615337113344","21,3427796535119","21,5873366058132","21,8545198505118","22,4583266762529","22,5312566221657","22,5022266464086","21,9894742327133","21,351379168382","20,56398249"
Connewitz,Jugendquote,"17,5","17,3","17","16,3","16,1","16,2","16,6","17","17,8","18,30937419","18,61475549","19,26833306","19,48356808","19,825327510917","19,775826932121","19,7891009852217","19,8767217106765","20,3043379513968","20,4946204423192","20,5060699137048","20,6934386657889","20,2772710689529","20,0507972343728","18,8108484"
Marienbrunn,Jugendquote,"11,4","11,9","12","12,2","13","12,9","13,6","14,1","16","17,65879614","19,37669377","19,05396402","19,53871499","20,2779532533165","20,3860072376357","21,0304308526665","21,0086541330946","21,3028169014085","20,9714950552647","20,6260971328262","20,4805156753589","19,8208610228258","19,8006092495154","18,33424959"
Lößnig,Jugendquote,"15,2","14,9","14,2","13,5","13,6","13,7","13,9","14,4","15,5","16,0881724","16,43176919","16,63088357","16,43138542","16,8988690378626","16,890037138705","17,5226098191214","17,8831526136915","18,0906148867314","17,3661360347323","17,343293277038","17,0636215334421","16,925315227934","16,4969774101177","16,03954082"
Dölitz-Dösen,Jugendquote,"17,3","17","14,9","14,8","15,5","15,2","15,7","17,1","17,4","18,69413136","19,55177743","19,67032967","19,66816454","19,3832599118943","21,1446196024674","21,7077175697865","23,2251521298174","23,0097413503527","23,8258484744601","24,5217391304348","24,6132691646614","24,1211277410372","23,7627007538512","22,406639"
Schleußig,Jugendquote,"20,8","19,9","20,2","20,1","20,6","21","21,4","22,7","24,8","26,39053254","28,14201183","28,55968045","28,77913686","28,6040406346307","28,7098244814224","28,6236019173705","28,8977272727273","29,5351985559567","30,0146412884334","29,64132641552","28,9722785665991","28,2732017245292","27,5975127190503","25,95030069"
Plagwitz,Jugendquote,"16,2","15,5","14,2","13,1","13,7","13,2","13,6","14,4","15,1","15,45921944","16,57149383","17,25287727","17,9779946","18,3885703178151","19,580551114455","20,0622368661907","20,6246634356489","21,4619110523998","21,7604339837256","21,1776771216135","21,4207650273224","21,6865460005005","21,356845456772","20,87468732"
Kleinzschocher,Jugendquote,"19,1","19,4","18,9","18,8","18,3","17,4","17,5","17,3","17,7","18,06334842","19,37062937","19,852563","19,95676035","19,4323496210289","19,5483972840676","20,7790216224505","20,2983328458614","21,0736152641321","21,4113303989777","21,991643454039","22,0808278562439","21,9925589086399","22,6938993458817","22,33429395"
Großzschocher,Jugendquote,"13","12,7","12,5","12,3","12,4","12,5","13","13,7","15,1","16,18274112","16,78787879","16,60015962","16,7794586","16,8715305313243","17,1767028627838","17,1255614137864","17,973602484472","18,5386708122814","19,5291393284446","19,270129368604","19,5706826532586","19,2176870748299","19,5131086142322","19,41351151"
Knautkleeberg-Knauthain,Jugendquote,"18,1","17,6","17,4","16,8","16,9","17,4","17,8","18,3","19,1","20,25888019","21,05422599","21,38780415","21,98795181","22,6375598086124","23,1603635297567","23,9884393063584","24,1270749856898","24,4565217391304","25,5833807626636","26,0509007720904","25,6670533642691","27,0581462291307","27,1379703534778","26,48401826"
Hartmannsdorf-Knautnaundorf,Jugendquote,"16,2","15,6","15","14,9","13,9","13,9","13,3","13,8","14,3","16,47058824","17,57719715","18,13898704","19,56769056","17,9234972677596","17,8888888888889","18,86586695747","20,3290246768508","21,5843857634902","24,2014742014742","24,7549019607843","24,9673202614379","28,0104712041885","27,0375161707633","26,72634271"
Schönau,Jugendquote,"13,8","13,8","13,2","12,4","12,7","12,8","13,7","13,8","14,9","15,19699812","16,3546798","16,25632378","16,39835268","17,9156908665105","20,2842873607376","22,1674876847291","23,5426852200075","24,9156987635819","25,8376768428891","24,2079031683873","23,4823215476985","23,4022556390977","24,6214415505754","24,30243024"
