"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Zentrum,Straftaten insgesamt,"4904","4655","4007","3443","2865","3180","3101","3879","3979","4391","5182","4822","6082","5051","4854","4902","4276","3095","4358"
Zentrum-Ost,Straftaten insgesamt,"2206","1879","1770","1698","2075","1379","1532","1693","1995","2134","2377","2714","3072","3427","3267","3481","3487","3170","4842"
Zentrum-Südost,Straftaten insgesamt,"2198","2151","1932","2412","1793","1867","2039","2045","2240","2035","2326","2291","3218","3080","2466","2295","2180","1779","1927"
Zentrum-Süd,Straftaten insgesamt,"1946","1898","1790","1889","1559","1488","1653","1699","2147","2094","2447","2043","2747","2197","1933","2027","1705","1509","1503"
Zentrum-West,Straftaten insgesamt,"2161","2337","1555","1824","1530","1568","1470","1477","1440","1535","1953","2086","2308","2063","1961","1846","1752","1477","1621"
Zentrum-Nordwest,Straftaten insgesamt,"1136","930","898","1145","1018","1060","1031","1366","1189","1188","1370","1252","1399","1482","1117","1237","1067","906","933"
Zentrum-Nord,Straftaten insgesamt,"1523","1356","1152","1345","1929","2639","2951","3114","3395","3770","3862","3743","4731","4095","2896","2716","2331","1912","1315"
Schönefeld-Abtnaundorf,Straftaten insgesamt,"877","792","1003","925","978","922","1177","1322","1249","1177","1316","1429","1438","1419","1425","1355","1464","1373","1340"
Schönefeld-Ost,Straftaten insgesamt,"742","787","842","972","830","855","762","766","793","946","997","849","925","1045","924","902","1045","1020","978"
Mockau-Süd,Straftaten insgesamt,"387","400","384","365","364","321","328","421","462","491","674","435","569","467","462","455","468","423","403"
Mockau-Nord,Straftaten insgesamt,"713","689","506","630","570","509","698","651","883","811","883","823","2859","812","781","964","1119","1153","1039"
Thekla,Straftaten insgesamt,"351","414","552","351","364","410","371","328","476","524","531","474","565","440","393","368","358","389","461"
Plaußig-Portitz,Straftaten insgesamt,"113","125","146","101","142","110","131","169","155","85","117","120","153","111","143","131","118","112","101"
Neustadt-Neuschönefeld,Straftaten insgesamt,"1519","1332","1668","1757","1513","1580","1668","1638","1527","1818","2016","2047","2751","2311","2229","2167","2598","2453","2184"
Volkmarsdorf,Straftaten insgesamt,"1413","1184","1167","1254","1196","1340","1178","1192","1524","1556","1787","1714","2072","2010","2055","2151","2090","1979","1853"
Anger-Crottendorf,Straftaten insgesamt,"1058","801","869","966","910","961","847","874","1058","1084","1375","1317","1351","1409","1418","1312","1196","1083","999"
Sellerhausen-Stünz,Straftaten insgesamt,"678","582","570","597","692","684","857","825","972","1010","1046","1055","1294","1049","1172","1092","1091","1232","1166"
Paunsdorf,Straftaten insgesamt,"2302","2206","2099","2043","1999","1854","1947","1637","1666","1935","2199","2108","2364","2129","2068","1867","2179","1977","2096"
Heiterblick,Straftaten insgesamt,"266","379","341","267","338","252","376","315","403","374","364","497","612","502","365","328","335","355","386"
Mölkau,Straftaten insgesamt,"250","279","341","285","292","259","303","282","275","281","277","318","411","251","287","280","273","225","287"
Engelsdorf,Straftaten insgesamt,"607","480","561","456","623","557","551","540","626","594","619","636","770","605","534","654","588","512","553"
Baalsdorf,Straftaten insgesamt,"61","68","91","38","63","65","160","96","61","62","63","74","68","46","51","38","43","54","46"
Althen-Kleinpösna,Straftaten insgesamt,"87","88","98","79","74","97","92","73","90","64","95","74","99","65","45","62","69","57","62"
Reudnitz-Thonberg,Straftaten insgesamt,"1947","1881","2022","2466","2619","2277","2353","2552","2844","2491","3208","2857","3685","3310","3352","3303","3176","2918","3008"
Stötteritz,Straftaten insgesamt,"1167","1136","1031","1198","1274","1027","1165","1194","1202","1209","1365","1245","1339","1218","1216","1305","1418","1154","1193"
Probstheida,Straftaten insgesamt,"624","641","528","665","653","548","463","518","657","615","647","716","731","652","743","722","663","638","580"
Meusdorf,Straftaten insgesamt,"234","256","194","185","201","182","153","181","203","180","183","157","188","240","215","236","210","210","202"
Liebertwolkwitz,Straftaten insgesamt,"294","314","290","328","341","373","224","285","353","281","308","232","333","304","306","329","395","285","241"
Holzhausen,Straftaten insgesamt,"199","334","257","305","309","278","210","192","317","339","383","253","357","237","221","289","286","280","251"
Südvorstadt,Straftaten insgesamt,"2508","2055","1884","2227","2291","1799","2041","2048","2426","2212","2348","2062","2860","2392","1996","2005","1851","1661","1540"
Connewitz,Straftaten insgesamt,"1865","1745","1543","1888","1884","1820","2002","2037","2309","2156","2252","1874","2348","1831","1871","2040","1961","1779","1473"
Marienbrunn,Straftaten insgesamt,"331","307","266","367","299","306","279","283","327","319","438","381","380","362","282","299","282","348","377"
Lößnig,Straftaten insgesamt,"763","683","619","970","761","720","769","799","884","727","925","860","887","720","594","626","554","612","743"
Dölitz-Dösen,Straftaten insgesamt,"510","536","459","544","431","240","247","246","265","259","282","567","767","412","259","340","311","238","329"
Schleußig,Straftaten insgesamt,"813","708","750","713","700","713","1001","803","925","997","1012","1031","1058","1164","889","876","812","940","643"
Plagwitz,Straftaten insgesamt,"1922","1700","1648","1681","1740","2315","1755","1610","1852","1921","2339","2081","2614","2374","1937","2064","1952","1979","1894"
Kleinzschocher,Straftaten insgesamt,"919","923","774","909","824","922","906","1107","1125","1095","1174","1284","1283","1267","1070","1066","919","971","891"
Großzschocher,Straftaten insgesamt,"947","781","820","797","844","786","797","1867","910","860","1140","1069","1220","1049","849","792","657","692","709"
Knautkleeberg-Knauthain,Straftaten insgesamt,"290","267","229","328","289","246","200","208","267","222","225","205","264","221","183","180","169","183","211"
Hartmannsdorf-Knautnaundorf,Straftaten insgesamt,"52","48","55","61","134","38","63","48","49","84","69","102","92","68","60","61","68","59","71"
Schönau,Straftaten insgesamt,"383","325","335","323","370","348","391","483","530","573","535","531","603","473","500","445","558","602","676"
Grünau-Ost,Straftaten insgesamt,"358","359","366","352","385","313","378","380","415","492","595","509","641","548","548","622","544","566","540"
Grünau-Mitte,Straftaten insgesamt,"1879","1786","1715","1444","1399","1197","1328","1372","1536","1580","1844","1742","1939","1659","1532","1655","1577","1545","1579"
Grünau-Siedlung,Straftaten insgesamt,"444","312","223","196","145","191","238","224","215","271","312","255","261","225","225","258","235","240","350"
Lausen-Grünau,Straftaten insgesamt,"927","1009","985","1024","876","782","839","895","1020","1151","1141","1163","1227","1223","1267","972","1000","948","929"
Grünau-Nord,Straftaten insgesamt,"1034","956","893","880","735","725","722","739","726","798","827","640","818","712","712","728","735","746","729"
Miltitz,Straftaten insgesamt,"100","148","90","137","128","93","149","138","132","163","184","87","91","97","110","112","105","79","88"
Lindenau,Straftaten insgesamt,"764","760","724","949","884","1001","992","1109","1198","1105","1298","1174","1210","1206","1089","1098","1111","1127","1114"
Altlindenau,Straftaten insgesamt,"1806","1612","1659","1715","1801","1651","1868","2173","2236","2444","3041","3023","3052","2632","2323","2329","2344","2228","2185"
Neulindenau,Straftaten insgesamt,"862","763","696","839","762","588","669","753","775","772","1050","977","1072","803","720","827","646","778","816"
Leutzsch,Straftaten insgesamt,"776","939","773","837","732","739","890","1039","1041","1026","1357","1126","1024","983","862","913","986","898","825"
Böhlitz-Ehrenberg,Straftaten insgesamt,"551","597","605","607","684","534","513","516","521","631","736","645","721","706","610","535","536","537","446"
Burghausen-Rückmarsdorf,Straftaten insgesamt,"489","389","399","427","383","283","389","367","349","454","424","402","385","371","346","299","296","288","281"
Möckern,Straftaten insgesamt,"1867","1455","1494","1496","1808","1681","1944","2351","1984","1963","2284","2243","2569","3617","3444","3185","2400","2858","3151"
