"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Zentrum,Abitur,"51,2464031334641","55,8933832270594","64,9248275396892","64,4145990565112","70,222107880082","65,264786701239"
Zentrum-Ost,Abitur,"53,124704246403","54,1192021893556","56,3296239370028","71,3233338277759","72,2311827919847","61,1449787298648"
Zentrum-Südost,Abitur,"42,9080752940332","53,5410768520238","57,1238169954232","63,4029859993483","67,8975046795556","64,1725133710326"
Zentrum-Süd,Abitur,"63,5809130258934","57,2707023693103","62,4709118876538","61,5396891231501","67,082398814146","68,7459986288375"
Zentrum-West,Abitur,"51,1938088250863","55,3376257032813","63,8555566744007","68,1309813546737","69,3378965995245","62,4614725654606"
Zentrum-Nordwest,Abitur,"57,1544867804915","57,3282896671409","69,9572466712604","64,69409048122","81,0900698976119","76,4175508524373"
Zentrum-Nord,Abitur,"47,059627193514","49,1270915526088","53,5274660218758","54,6521550862846","60,7324307374667","69,8989429159122"
Schönefeld-Abtnaundorf,Abitur,"23,7718027680526","16,4617323844301","34,0236086114119","44,8213256337217","43,3975547582897","34,7420280431682"
Schönefeld-Ost,Abitur,"14,2651070705506","17,1502075097287","22,4248999379904","28,5683080759411","21,329570064946","35,6438555075791"
Mockau-Süd,Abitur,"14,023287102016","24,9565265902282","27,241675173245","25,9593587563735","30,6022444492764","38,3275914676138"
Mockau-Nord,Abitur,"15,7569970123272","16,8500419822522","28,5136105708162","19,2333127594236","20,5446568913802","29,3636623884053"
Thekla,Abitur,"19,7150904313694","21,8214189842224","31,5713774885242","28,0845717471497","34,9049993411505","36,7902195220107"
Plaußig-Portitz,Abitur,"24,628339750836","27,9339255077622","28,0047785236146","26,8499587535198","35,2311617198681","41,2319992095015"
Neustadt-Neuschönefeld,Abitur,"32,5744669465907","54,1060135886528","62,7381426052025","53,4656080298263","63,6154700114138","67,2511820237886"
Volkmarsdorf,Abitur,"28,3815180652327","28,0526581256239","49,7249829428605","58,227029034035","58,6045694813743","61,4123003604174"
Anger-Crottendorf,Abitur,"29,5047314470663","28,0636936120649","43,3902979104552","47,6213370111366","53,503149979988","61,7129981126418"
Sellerhausen-Stünz,Abitur,"21,3346347312642","16,2629402126312","21,8364061613137","32,0895856132922","30,0983664543783","41,0330891360686"
Paunsdorf,Abitur,"14,0516247881792","12,8155286212088","29,6827990973335","19,6053312729068","18,459711448004","33,6719971271691"
Heiterblick,Abitur,"18,4816206419852","18,8574700825068","17,1668717709745","24,356830468643","28,8528940681696","29,842462406803"
Mölkau,Abitur,"31,0233894262424","29,4863498220297","34,8445749842549","39,2313567151414","45,6204794419312","39,9900147009217"
Engelsdorf,Abitur,"24,9450436503556","16,4902994919884","21,8390017758776","30,9347462321084","40,6456960074381","36,8752724179335"
Baalsdorf,Abitur,"39,5070801590896","31,3293748034864","46,4528101219179","47,0600589260906","44,7652805967279","43,9971023225009"
Althen-Kleinpösna,Abitur,"19,1791488986562","28,7940709639364","29,2207870133412","16,6271581386314","35,5285682744699","22,4310969771994"
Reudnitz-Thonberg,Abitur,"40,2900719928437","44,906357409478","54,7722846064319","58,6713831517373","58,2534296621351","73,5415848887661"
Stötteritz,Abitur,"31,5324435800041","40,2237406240387","48,3792059848137","42,9227929796343","51,1860274340417","49,7565852808998"
Probstheida,Abitur,"20,9170212087127","29,3968486650844","40,5300143125343","34,4424648902319","52,8925427810663","49,8018072746511"
Meusdorf,Abitur,"16,2144839095139","28,17154588511","18,2560919529593","23,318028817585","23,0174538306227","33,7534514476634"
Liebertwolkwitz,Abitur,"16,7593928358091","21,9076299591093","33,0425642620765","12,7178794641429","23,8535596383266","32,9319001172089"
