"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Zentrum,Grundmiete,"6,04651162790698","6,0625","6,89867074525973","7,29270283982144","7,70840191726411","7,64705882352941"
Zentrum-Ost,Grundmiete,"5,875","6,025","6,28080718595612","6,89974095159877","7,36297158608612","8"
Zentrum-Südost,Grundmiete,"5,16363636363636","5,88888888888889","5,67791911867263","6,72509407762898","6,95668148826074","6,875"
Zentrum-Süd,Grundmiete,"5,69767441860465","5,65217391304348","6,20094836684674","6,57528581263881","6,37232468082693","7,38888888888889"
Zentrum-West,Grundmiete,"5,31914893617021","5,60344827586207","6,35737930003345","6,33989808804501","6,57967282125588","7,7"
Zentrum-Nordwest,Grundmiete,"5,50467289719626","5,71428571428571","6,12213462720871","6,62317255575029","7,01457380703657","7,28070175438596"
Zentrum-Nord,Grundmiete,"5,66666666666667","5,38235294117647","5,40548916054719","6,26917284739062","6,91233380089734","7,36111111111111"
Schönefeld-Abtnaundorf,Grundmiete,"4,77777777777778","4,52054794520548","5,11031381479664","5,40266633664159","5,57075722869113","6,16666666666667"
Schönefeld-Ost,Grundmiete,"4,81818181818182","4,79591836734694","4,89272522004664","5,2037358225243","5,4793569222451","5,59574468085106"
Mockau-Süd,Grundmiete,"5","5,1948051948052","4,9834397332072","5,35137930974895","5,52402484489763","5,96491228070175"
Mockau-Nord,Grundmiete,"4,83333333333333","5,25","4,99061164715153","5,21261551980227","5,29977192173023","5,5"
Thekla,Grundmiete,"5,11111111111111","5,21428571428571","5,15262016406985","5,35022822465257","5,09182500216785","5,82608695652174"
Plaußig-Portitz,Grundmiete,"0","0","0","0","0","0"
Neustadt-Neuschönefeld,Grundmiete,"4,51612903225807","4,5","4,83990428701888","5,21551512443446","6,0779289890983","6,52173913043478"
Volkmarsdorf,Grundmiete,"4,52459016393443","4,16666666666667","4,7407765454839","5","5,05462895505596","5,71428571428571"
Anger-Crottendorf,Grundmiete,"4,57831325301205","4,62962962962963","5,16887649034083","5,43961747717274","5,47442256692637","6,22388059701493"
