"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Zentrum,Wohneigentum,"0,346967082159949","0,444643243089992","0,472101409710341","1,49371324247178","3,4908877869144","0,515565407102333"
Zentrum-Ost,Wohneigentum,"5,31403789298214","2,77272522410512","2,90965173967659","7,93790941130774","8,89550893921053","9,0968447039239"
Zentrum-Südost,Wohneigentum,"0","0,179822973699049","5,76121703228786","0","3,58659867577728","2,29235265700484"
Zentrum-Süd,Wohneigentum,"3,3325990294731","4,22703961288928","9,04220951328718","14,6016284156455","6,81639885028387","8,3391547929418"
Zentrum-West,Wohneigentum,"3,84775686610753","1,32275813491383","2,86303967013913","12,6922824395239","7,45312652289397","7,22214286387371"
Zentrum-Nordwest,Wohneigentum,"6,36872366942522","7,57447116721425","2,89660467573607","11,2510794509795","12,2173203526938","8,57018244003855"
Zentrum-Nord,Wohneigentum,"3,96126584886746","5,66115746287142","2,8626207803298","10,1271083242055","13,2855270402045","6,64334958132332"
Schönefeld-Abtnaundorf,Wohneigentum,"1,70080718553489","0","2,55889561436347","1,41900410883467","6,350051098482","4,32319388516645"
Schönefeld-Ost,Wohneigentum,"12,7471701997061","9,74086871733093","10,2574332336379","17,2620552820572","19,4088979528501","12,8462398313695"
Mockau-Süd,Wohneigentum,"10,092692890244","13,8147826998385","9,93445857541341","14,6985792884053","21,7597424560895","17,6548485521623"
Mockau-Nord,Wohneigentum,"12,0534230475237","10,1226530294954","10,0742846358275","16,39532747454","22,0130798267851","25,4132837280857"
Thekla,Wohneigentum,"36,4469342938893","17,8447165103033","29,9182442391806","20,6251399858756","48,5245713331747","24,8896977738145"
Plaußig-Portitz,Wohneigentum,"75,8930416174831","77,07258876964","84,189311613443","75,9955526992226","88,2180278945011","73,6760620770478"
Neustadt-Neuschönefeld,Wohneigentum,"1,73507712596648","2,20861826160167","5,58170237317035","4,21762112859787","4,53027586976896","0"
Volkmarsdorf,Wohneigentum,"0,715190870842298","6,89800451858247","2,50473387775536","5,96575594254902","2,59893322378343","3,25772970397018"
Anger-Crottendorf,Wohneigentum,"3,93228961650897","4,00022590708796","4,93436218864504","6,79953640252637","8,3707283206702","10,2892482013759"
Sellerhausen-Stünz,Wohneigentum,"13,9243434683511","8,04163706685004","13,0683732436785","12,8764648686836","20,6727944236096","17,6932440422104"
Paunsdorf,Wohneigentum,"4,44799063685912","2,60740539480847","9,41460255527493","5,97009974894526","4,20722957764352","9,34492791301389"
Heiterblick,Wohneigentum,"24,7533345233533","30,3843902931011","22,779601839805","26,6220578896544","35,4873872553347","28,1336547405379"
