"Gebiet","Sachmerkmal","2015","2017","2019","2021"
Zentrum,Lebenszufriedenheit,"1,88114643443632","1,99308518488865","1,9","2,1938580547"
Zentrum-Ost,Lebenszufriedenheit,"1,98519092206393","1,94774538398425","2","1,9698464086"
Zentrum-Südost,Lebenszufriedenheit,"2,19999043271489","2,25219318241374","2","2,317615937"
Zentrum-Süd,Lebenszufriedenheit,"1,94588156975513","1,94476006977033","1,9","2,0517036995"
Zentrum-West,Lebenszufriedenheit,"1,98696978526315","1,94475047235593","2","2,1452908932"
Zentrum-Nordwest,Lebenszufriedenheit,"1,92906217477507","1,95123340736233","1,8","2,1780579"
Zentrum-Nord,Lebenszufriedenheit,"2,00585691817891","1,96857660351786","2","2,2753211995"
Schönefeld-Abtnaundorf,Lebenszufriedenheit,"2,22822747744448","2,16913229467758","2,3","2,3411034623"
Schönefeld-Ost,Lebenszufriedenheit,"2,27975089295263","2,33648728086734","2,3","2,4240256746"
Mockau-Süd,Lebenszufriedenheit,"2,23428419847714","2,23194322108453","2,2","2,5253824968"
Mockau-Nord,Lebenszufriedenheit,"2,27093514228613","2,33710875434135","2,1","2,4214689137"
Thekla,Lebenszufriedenheit,"2,1143144497317","2,1196829913756","2","2,3891313208"
Plaußig-Portitz,Lebenszufriedenheit,"2,15820217299984","2,18566755845852","2","2,2726757527"
Neustadt-Neuschönefeld,Lebenszufriedenheit,"2,17634056992639","2,16426141679637","2,1","2,1936956799"
Volkmarsdorf,Lebenszufriedenheit,"2,21225172610416","2,19623002294225","2,2","2,3193255981"
Anger-Crottendorf,Lebenszufriedenheit,"2,22848497782984","2,10659868086184","2,2","2,19856179"
Sellerhausen-Stünz,Lebenszufriedenheit,"2,20017842065056","2,23225132453409","2,1","2,3407470353"
Paunsdorf,Lebenszufriedenheit,"2,21385103962653","2,35514361286754","2,3","2,3476481454"
Heiterblick,Lebenszufriedenheit,"2,1949423050785","2,21596137792942","2,1","2,2430623941"
Mölkau,Lebenszufriedenheit,"1,95842250299606","2,15026345530755","2","2,0852715824"
Engelsdorf,Lebenszufriedenheit,"2,25110428373134","2,10991710940872","2,2","2,3090497104"
Baalsdorf,Lebenszufriedenheit,"2,05566781343684","1,8882436746158","1,9","2,1977573594"
Althen-Kleinpösna,Lebenszufriedenheit,"2,14664514801248","2,21806118490648","2,1","2,2863045712"
Reudnitz-Thonberg,Lebenszufriedenheit,"2,02756693954548","2,25993408343122","2,1","2,2314248431"
Stötteritz,Lebenszufriedenheit,"2,0482038346836","2,16716602776688","2","2,2607941916"
Probstheida,Lebenszufriedenheit,"2,09260758068959","2,14146225422595","2,1","2,2529067663"
Meusdorf,Lebenszufriedenheit,"2,23737823111221","2,23124441247416","2,2","2,1979461981"
Liebertwolkwitz,Lebenszufriedenheit,"2,12676592929702","2,27469467842682","2,1","2,2488146217"
Holzhausen,Lebenszufriedenheit,"1,96093734586635","2,0098631245235","2","2,242189091"
Südvorstadt,Lebenszufriedenheit,"1,92371013619596","2,05903916280735","2","2,1688540072"
Connewitz,Lebenszufriedenheit,"2,19583554912667","2,09837678614565","2,1","2,2642211155"
Marienbrunn,Lebenszufriedenheit,"2,06816364628731","2,16971884579013","2","2,1982742555"
Lößnig,Lebenszufriedenheit,"2,19583746270923","2,18545421954655","2,1","2,2421033526"
Dölitz-Dösen,Lebenszufriedenheit,"2,08927491447573","2,20641990667005","2,1","2,2397121249"
Schleußig,Lebenszufriedenheit,"1,87571917939317","1,91746774548184","1,9","2,0778871522"
Plagwitz,Lebenszufriedenheit,"2,07004365022449","2,04693785331672","1,9","2,1222765934"
Kleinzschocher,Lebenszufriedenheit,"2,06676716850682","2,20857280079824","2,2","2,3224172019"
Großzschocher,Lebenszufriedenheit,"2,18833873991508","2,14517107226398","2,2","2,3383286988"
Knautkleeberg-Knauthain,Lebenszufriedenheit,"2,01572754289897","2,02699840976427","1,9","2,0496485057"
Hartmannsdorf-Knautnaundorf,Lebenszufriedenheit,"2,13164006569336","2,12567022347796","2","2,1470460661"
Schönau,Lebenszufriedenheit,"2,25004457436063","2,28939074148386","2,1","2,1801609818"
Grünau-Ost,Lebenszufriedenheit,"2,34770101932157","2,21515856761809","2,3","2,324710148"
Grünau-Mitte,Lebenszufriedenheit,"2,36378464726127","2,32306670908643","2,4","2,3980939107"
Grünau-Siedlung,Lebenszufriedenheit,"2,05044840759866","2,10276682005379","2,1","2,0623646815"
Lausen-Grünau,Lebenszufriedenheit,"2,24219237174827","2,29934717429191","2,3","2,4121017593"
Grünau-Nord,Lebenszufriedenheit,"2,29020257324311","2,41071374134006","2,3","2,527416227"
Miltitz,Lebenszufriedenheit,"2,04424198613937","2,1102458432116","2,1","2,2700450966"
Lindenau,Lebenszufriedenheit,"2,11470602305761","2,25862656495642","1,9","2,3248925576"
Altlindenau,Lebenszufriedenheit,"2,20629448441948","2,18403583045952","2,2","2,3014875091"
Neulindenau,Lebenszufriedenheit,"2,26098863460659","2,28693289465197","2,2","2,2807942253"
Leutzsch,Lebenszufriedenheit,"2,19055867541727","2,09022236588174","2,1","2,1479853279"
Böhlitz-Ehrenberg,Lebenszufriedenheit,"2,13406111166881","2,10858130003377","2","2,2272227188"
Burghausen-Rückmarsdorf,Lebenszufriedenheit,"2,09883645130337","2,10539095806662","2","2,0450481223"
Möckern,Lebenszufriedenheit,"2,24916911137412","2,27027189505815","2","2,3086943066"
Wahren,Lebenszufriedenheit,"2,18065108143164","2,18404700915224","2,1","2,2552440082"
Lützschena-Stahmeln,Lebenszufriedenheit,"2,06277456229695","2,15678460415193","2","2,1645421488"
Lindenthal,Lebenszufriedenheit,"2,07283710583044","2,1561883865627","2","2,3400309788"
Gohlis-Süd,Lebenszufriedenheit,"1,93506269756011","1,86709028363368","2","2,1870647385"
Gohlis-Mitte,Lebenszufriedenheit,"2,09144669789973","1,95780061319276","2,1","2,1173866268"
Gohlis-Nord,Lebenszufriedenheit,"2,09787092763303","2,15238368075949","2,2","2,3003462866"
Eutritzsch,Lebenszufriedenheit,"2,12125601836495","2,13726557248343","2,2","2,1695013541"
Seehausen,Lebenszufriedenheit,"2,12949272086385","2,204014943433","2","2,2146281732"
Wiederitzsch,Lebenszufriedenheit,"2,14113914544596","1,98559340013374","1,9","2,1036114746"
Mitte,Lebenszufriedenheit,"2,04272317653338","2,04217762737367","2","2,2421720102"
Nordost,Lebenszufriedenheit,"2,22929311297572","2,27560951466483","2,2","2,4045566033"
Ost,Lebenszufriedenheit,"2,19286473089672","2,24637109282729","2,2","2,2965826031"
Südost,Lebenszufriedenheit,"2,14886151158504","2,18089033442846","2,1","2,2238652154"
Süd,Lebenszufriedenheit,"2,12361453266439","2,1436848283455","2","2,2591862939"
Südwest,Lebenszufriedenheit,"2,12596957001227","2,14471520725145","2,1","2,1968277171"
West,Lebenszufriedenheit,"2,29315054018127","2,36626870834256","2,3","2,4319684493"
Alt-West,Lebenszufriedenheit,"2,17382018910409","2,15615324894598","2,1","2,2729081697"
Nordwest,Lebenszufriedenheit,"2,13576012016659","2,21079398937486","2,1","2,3311960814"
Nord,Lebenszufriedenheit,"2,08852313501643","2,02252756520205","2,1","2,2141919196"
Stadt Leipzig,Lebenszufriedenheit,"2,15365984942787","2,17304945704828","2,1","2,278237041"
Zentrum,Wirtschaftliche Lage,"2,25558003160208","2,18111367837956","2,3","2,3537809699"
Zentrum-Ost,Wirtschaftliche Lage,"2,24261908195776","2,06394061277051","2,3","2,3008307357"
Zentrum-Südost,Wirtschaftliche Lage,"2,47413659488494","2,46531399405262","2,3","2,5377314458"
Zentrum-Süd,Wirtschaftliche Lage,"2,21655644470479","2,26162172908916","2,2","2,2426705591"
Zentrum-West,Wirtschaftliche Lage,"2,14361461318798","2,28247801654125","2,2","2,1334347272"
Zentrum-Nordwest,Wirtschaftliche Lage,"2,18642666598626","2,12673954657534","1,9","2,0393067574"
Zentrum-Nord,Wirtschaftliche Lage,"2,32145975534811","2,28390453697321","2,2","2,4474100937"
Schönefeld-Abtnaundorf,Wirtschaftliche Lage,"2,45196996550885","2,47686930286459","2,5","2,5854895072"
Schönefeld-Ost,Wirtschaftliche Lage,"2,48056060119258","2,51794906044851","2,5","2,4629299959"
Mockau-Süd,Wirtschaftliche Lage,"2,62825965822996","2,27380248597555","2,4","2,5398686851"
Mockau-Nord,Wirtschaftliche Lage,"2,47008674582566","2,53886539476308","2,2","2,4759897228"
Thekla,Wirtschaftliche Lage,"2,3752295900014","2,43120914627225","2,2","2,4595070023"
Plaußig-Portitz,Wirtschaftliche Lage,"2,39904022993701","2,2434061362648","2,1","2,2863140311"
Neustadt-Neuschönefeld,Wirtschaftliche Lage,"2,45336560292071","2,45166262166287","2,3","2,4102863081"
Volkmarsdorf,Wirtschaftliche Lage,"2,41247888603956","2,56475653583086","2,5","2,6069659725"
Anger-Crottendorf,Wirtschaftliche Lage,"2,42838477702614","2,39797123967904","2,4","2,4026707774"
Sellerhausen-Stünz,Wirtschaftliche Lage,"2,46213058211151","2,41363084842803","2,3","2,3303831121"
